V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
1841.72108916498,1763.65174269691,1686.51100243267,1618.47913656574,1553.28102136012,1489.41976034667,1431.72067241836,1379.38045696003,1352.19606505297,1304.26619422427,1255.70531834423,1234.99004899517,1194.92140580893,1153.62879839027,1136.93682520432,1098.825430829,1083.07502158654,1049.52265052078,1036.84211441755,1004.99471910959,993.842508701691,983.101912338018,953.422184017529,941.375315864395,914.577829057169,906.589856406993,898.952878270517,872.896326939825,865.793893836406,859.016701110969,834.21695622109,827.709199556919,821.555417218177,813.733803668441,796.571670405205,792.460026383262,788.824875040331,774.238647185947,770.776369833055,767.376756592299,763.952241275863,760.587848273579,746.37485541956,742.95958306522,739.566717268875,736.188761008758,732.829405261977,720.340425561454,717.926220091233,715.521433337187
1897.69471134907,1817.52670414805,1739.23993999938,1667.73628652709,1598.27712820448,1536.20245539503,1476.33115697559,1449.18273385391,1395.02651070675,1343.61591964213,1296.56273650659,1273.68109149722,1230.25708844762,1214.15670726035,1173.01959975154,1156.79885992778,1119.03881456516,1103.83645729802,1069.97957251824,1057.81295978367,1025.32287712148,1014.58015013432,983.452838637768,973.117711841993,963.205495151145,935.479942561995,927.898702258252,918.253846462474,893.251191326026,886.484685420222,878.778738718896,855.508549437091,847.802875137971,841.702807071881,818.321708834935,812.069319117347,807.855217565299,803.54580048857,788.807838357512,785.286357919258,782.014597452033,778.805296903845,775.611618450843,761.638891896312,758.387929675049,755.119534641601,751.901208227347,748.703097807508,734.034596708948,731.764632384203
1954.56715378019,1869.53251465822,1790.83386552833,1715.26873504141,1648.05904087837,1583.72460219788,1552.46434151088,1491.16315569386,1438.7486015394,1385.40012861525,1363.80445864452,1315.15685499483,1268.63839398286,1249.92497216207,1210.46392379628,1193.63459366808,1155.50233351635,1140.29924270774,1103.43772075754,1091.34556215519,1058.55697888912,1045.31613232123,1034.7675415994,1005.225297619,995.311280584769,965.789104278713,955.009632726769,947.599973108847,922.023564521911,913.320030677475,906.620726299101,900.257089840595,876.025625521726,869.906246367728,862.53565740345,839.163416114028,831.90682860985,827.203951001609,821.291167487433,803.911586130643,800.141855328685,796.884117984451,793.716425212398,790.644196719428,777.001475171048,773.869674689219,770.798532213786,767.741847153478,764.663700975436,750.227858850514
2012.30547076209,1926.37627420691,1845.61689526814,1768.93131519196,1698.60113630667,1663.79189272172,1598.51729569763,1538.97020515391,1483.06888795046,1456.5830197748,1404.0505315713,1357.25814491777,1335.09815973805,1288.82400405163,1270.77868671262,1229.22158000104,1213.23630051365,1175.61153131439,1160.65492313736,1123.25705029591,1111.26020455622,1078.62420271541,1067.47655599332,1037.65684136428,1027.75344466428,1016.62681640028,987.142898189025,978.030485265223,967.979971731553,942.660293745808,935.81544405635,927.489396451564,904.421981295988,898.296369006809,891.142194958789,885.418888285629,860.719467777374,855.264014856876,848.207714395892,843.242360395441,822.345033027517,818.032342745811,813.02555744321,808.907140714688,805.891617577611,792.420793284739,789.45060268314,786.54445059989,783.650891843406,780.720229028552
2111.29017549633,2019.95830507543,1936.00136960316,1857.35441357822,1782.3932792444,1714.90196771105,1647.56965802047,1587.54697461067,1556.2510703149,1501.54163222341,1448.12603949143,1424.04189992076,1377.80784067709,1330.18833150516,1310.18393661829,1268.4609526511,1251.44740231563,1213.2415925761,1198.30588278619,1160.90507089376,1146.82986357742,1113.12234624375,1102.03983356132,1091.39462328206,1059.37837252641,1049.61472703583,1040.24959965161,1011.09715184892,1000.40165757706,991.823283388099,965.947957382684,957.23988276327,950.931554553302,925.957900813087,919.893740211698,913.016626108446,907.334397866204,883.127490024082,877.519964930145,870.925885337956,865.7106295446,843.426556218302,838.96999840998,834.199377292418,830.218044903412,825.49916272606,807.864109580867,805.064506238085,802.324386468649,799.540464107966
2200.91050656167,2107.20783850024,2021.26854837856,1939.44556548385,1862.83158571329,1787.47734477516,1721.73477671977,1658.68616750902,1627.4942281351,1569.35642693123,1514.08743421159,1489.29441889432,1440.67853207176,1419.09988912846,1371.72363271704,1326.35444019611,1309.56742367879,1268.26092662499,1253.3437584571,1239.09639539487,1201.90195341112,1188.49249540063,1152.76707648328,1139.80293362508,1129.53013502426,1097.67055022397,1088.46278582433,1057.85396407504,1048.961829485,1040.49330826503,1030.3379140981,1001.6106818687,993.240724514596,987.266286437127,962.234858634965,955.049942888836,949.481352364283,943.040459837795,920.088219930988,913.592627891651,908.658134517742,902.254337992715,878.93345294957,872.599898441103,867.651873097481,863.90416610525,859.214664942793,839.898875107737,835.426201657851,831.227996075396
2266.18162689434,2169.11483974086,2078.51731154797,1995.27769501481,1917.88586294513,1842.73559090989,1774.56072252811,1739.3677204929,1677.8856627414,1617.14049084916,1590.27226733584,1535.77427004938,1483.30971930618,1463.75068904751,1415.87859116065,1395.79977296115,1350.22084712223,1334.08971794944,1292.91425803449,1278.05662044775,1240.71943856876,1227.32256025512,1212.27130975531,1175.34843624924,1165.16080680997,1133.00994566702,1121.29654658309,1112.07897034505,1083.05288391661,1073.05333293022,1064.67558868606,1035.43809388073,1025.55856802887,1018.25292756353,1010.26325049856,985.614236920509,978.472604861166,972.67743682317,966.310424245856,943.527391741567,937.302941360694,932.380824183775,926.237771705481,902.999266627495,897.351838690103,892.580912960032,886.51156904281,881.675648375798,878.42757530992,858.175482948344
2332.761261651,2234.80131400391,2139.69408494483,2055.55490848753,1976.06485022096,1935.35893010518,1861.89292085963,1792.97620744718,1729.49695120716,1668.17187642922,1641.02525735269,1582.80464144138,1558.96159977733,1506.90594018973,1459.03684366082,1440.55764876899,1393.58610338378,1375.22144098945,1334.17324757623,1319.0171002006,1301.95073944254,1265.00326540579,1251.80605357207,1214.8490364395,1202.48564656035,1188.85905677477,1156.96601789383,1147.56361548176,1138.67386017442,1107.64982591918,1099.27649199629,1089.71669434266,1060.54874013825,1052.9230245067,1043.45697947954,1036.37553113011,1009.81959055338,1003.82242081152,997.02889196295,991.637877372481,967.52828157223,962.579915187922,956.6721298502,952.122316782527,946.287919459734,922.462405446278,917.496508773704,912.072157469377,907.843441816085,902.058739590296
2443.512539611,2301.53951462298,2205.63811753554,2117.22980379654,2072.31789302234,1994.11549506075,1917.72324643761,1847.29103671981,1780.44549035502,1750.95689039527,1690.50501799822,1632.85079662195,1606.62133368993,1554.25003916535,1531.88835055297,1484.23849093311,1464.53315503227,1417.68449321641,1399.07772787499,1357.9631466777,1343.13591208984,1304.89295034004,1291.73536938147,1279.07047940853,1240.55124037633,1228.34822837497,1193.45585832416,1184.20181080547,1172.76037058924,1142.42604082666,1134.07587764459,1124.79926644072,1116.92222227085,1086.52645933045,1078.95925031359,1069.85471871583,1062.77516172102,1035.65399482833,1028.67613835801,1023.52403412226,1016.61423784356,992.043247041909,987.116829301786,981.485235490629,976.936377771679,971.368837715404,948.637452928082,942.995022864979,937.938089709657,933.55363556786
2543.27166244694,2441.14566383814,2342.93043177514,2248.87085349639,2162.82301499382,2078.88333711102,2003.46549312917,1929.68432380783,1893.38585312397,1829.90841303465,1766.19289500816,1737.87857498325,1680.67869173941,1624.25664052522,1602.02794877265,1550.72726268649,1531.26146027083,1484.26735598115,1465.82680917187,1419.40139566492,1404.8531113728,1390.83488454434,1350.44034578175,1336.10467801191,1299.22293907674,1287.17618098321,1275.64894861853,1236.56069288599,1226.60347060951,1218.14143928996,1184.66293479363,1176.07944664248,1168.16329503032,1159.30868428348,1130.57075690877,1121.81013803476,1114.87305026684,1106.24555268338,1077.09863396876,1068.73368457917,1063.71580992206,1056.82112554353,1032.65522417226,1026.53109304013,1021.9384345649,1016.13380250159,1010.95113121045,988.323180793937,983.046817840716,977.794708978638
