V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
8538.02895361758,8357.11987885793,8172.17861756608,7983.36313954446,7790.85871899845,7615.36282990346,7436.520270796,7266.91787222752,7190.48726431334,7035.09102240507,6875.75466975611,6799.30950142578,6647.32128397195,6499.23424865208,6432.81336461004,6284.21223523902,6231.78415096913,6103.96648900794,6051.38655717157,5919.02642050632,5866.35360895789,5816.74522566316,5698.19987130581,5653.60694817428,5531.87766692734,5491.00787111251,5452.18581767834,5368.27206032453,5349.22775409831,5330.28192776273,5268.14223792234,5249.05781342086,5231.0682299934,5212.08298558651,5148.84003644778,5129.6464573421,5122.37975737895,5122.27974430246,5122.17973277531,5122.07972279751,5121.97971436904,5121.8797074899,5121.77970216007,5121.67969837955,5121.57969614833,5121.4796954664,5121.37969633375,5121.27969875037,5121.17970271625,5121.07970823139
8704.8290945047,8513.21265767394,8332.85888427599,8148.38991279891,7959.96990646149,7776.81468898309,7601.94520894039,7510.79344184507,7343.26923387032,7191.90446554052,7036.362479335,6962.03448395455,6802.09530984417,6736.75982275359,6591.83826256081,6527.95061976672,6379.62705496295,6325.30407466929,6200.64951634433,6150.24919259575,6020.80964623359,5970.23621169467,5842.69168847487,5799.83894605162,5758.24227213686,5639.36429509532,5600.49091423885,5557.90517413066,5438.04799655892,5412.14861372355,5394.21154778751,5333.99856523888,5315.7839720783,5297.78514699926,5235.28632739402,5216.91391295868,5201.27426633263,5183.11712652412,5125.8861296067,5125.83852295436,5125.79091657659,5125.7433104734,5125.69570464477,5125.64809909072,5125.60049381124,5125.55288880633,5125.50528407599,5125.45767962021,5125.41007543901,5125.36247153237
8872.259451022,8667.68750569256,8492.12441707407,8312.22086103087,8128.11909631773,7939.98956218367,7848.62014683939,7677.59812742065,7502.50058899709,7347.30480522132,7275.66640118972,7123.65557338051,6967.42524356622,6895.4914185258,6749.78830405813,6687.77156730844,6542.05695639669,6481.13359544209,6348.29361442767,6299.72142939355,6173.96202002179,6125.13157302826,6076.64184520953,5945.47461847815,5904.41305728498,5787.740718206,5746.38441342294,5707.86430095979,5588.83585965314,5547.52306404751,5512.50828523719,5479.78873762892,5399.63006767867,5382.38791067653,5365.22571453436,5303.62029728271,5286.17797972169,5270.02880178542,5252.76601168531,5189.94356042385,5172.44441761401,5159.574092695,5142.28948889983,5131.64608734089,5128.05048368138,5128.0348249181,5128.01916616807,5128.0035074313,5127.98784870778,5127.97218999752
9038.41445834205,8837.07103390894,8649.76792790834,8474.6418233319,8295.08603623409,8197.36081772072,8013.25294981913,7843.19407618858,7672.19686474614,7586.44624243111,7431.72410972607,7283.91457228387,7214.61631246753,7061.83522116443,6992.63288916577,6846.3096204318,6786.80097598298,6644.21146201502,6584.75494865892,6447.32966926426,6400.92323096062,6278.47376956956,6231.74651386511,6104.18800719336,6057.18236483021,6010.49517812157,5896.01617768095,5857.68169186978,5818.4246721268,5700.81095441081,5665.60316365981,5626.31380619753,5517.59470747532,5487.97016904295,5458.48149138139,5432.3749592651,5372.69188301836,5356.31182181211,5339.87239007253,5324.771028744,5261.08646234967,5247.31981841849,5230.78697081391,5214.33113242819,5202.74319064939,5134.80984505709,5129.12994564034,5129.1284064536,5129.12686726686,5129.12532808012
9281.91813346233,9089.18149175772,8892.57396997733,8711.42116544629,8540.83038052109,8365.62999451968,8185.95430586808,8007.34001467861,7924.45494993607,7757.34603161055,7585.92243275112,7519.48049892373,7375.50234546087,7226.86968138201,7159.80126032186,7006.1277609713,6945.71193538454,6807.11432898359,6749.49010103279,6605.94397913889,6549.35377949627,6429.94775698875,6385.03015254398,6340.38696113736,6216.09035915987,6171.10632860149,6126.40738882324,6006.95060813919,5969.30310871081,5933.08622752266,5818.7127217462,5780.91982172638,5747.91249420028,5626.51630182845,5598.4873577487,5570.5768713504,5542.784399494,5442.26576409876,5425.97380152386,5410.44118213266,5395.1146016425,5333.48025426824,5319.03009897986,5303.34461464938,5290.75385107006,5275.22930895571,5209.17322444711,5198.34263579734,5182.65022760121,5174.2016431348
9542.85105008765,9341.27624985885,9150.57735870275,8955.24993650673,8786.63082245959,8617.06273165901,8442.65819290141,8263.55506961225,8173.04046723222,8010.91095983633,7844.04366476539,7764.60827930852,7614.969732907,7551.88048174734,7407.32293055323,7257.92358367163,7194.01642043466,7047.43557310674,6992.83408876729,6938.60900512278,6798.44548747642,6745.15942022189,6611.63780843834,6569.74524829339,6528.08307415641,6407.27575647791,6365.16533352303,6238.78035456673,6196.25466873512,6158.19244592721,6123.39157648593,6010.82406374003,5975.5555803393,5943.41353668182,5828.12771379938,5792.66333778703,5764.27986896503,5729.25304550383,5630.96254361669,5604.92807793075,5578.9948374114,5553.16247540066,5449.52088217329,5434.83731544329,5420.40140177175,5407.42387941614,5393.10997020774,5332.04536839569,5317.4419838581,5302.8966290509
9714.7839639263,9510.19363588371,9320.46870801683,9130.2416545369,8946.59157050601,8782.21833914075,8612.79822134602,8525.06427349622,8350.17210805913,8179.08621266922,8102.70517582183,7939.82734686462,7772.15572391257,7711.28289579761,7571.3998859911,7510.36484831059,7364.7289207172,7303.46250125943,7154.38404967854,7102.21709167989,6966.1982728697,6913.82024688114,6861.66229001385,6720.65145230421,6680.47178631086,6564.11834754994,6523.8111802651,6483.71807791023,6360.82828593577,6320.26841361733,6279.93263303635,6164.43328246034,6130.78155013553,6098.62631646959,6065.30780634131,5951.71704638335,5917.93752661626,5889.35951583047,5855.95850527026,5749.01710345448,5724.52120745466,5700.11237560624,5675.79033626233,5575.53279043636,5550.67484286555,5526.27394734012,5501.60443178731,5477.02699900071,5457.04974869549,5394.69620893086
9884.91431439208,9685.76849148984,9488.45045130867,9303.54417779696,9113.68278519669,9020.55643907094,8860.92700889376,8696.07455368697,8526.09748288718,8351.12472965115,8271.44877393051,8113.35113594047,8039.47660586879,7875.71929366972,7733.26363760654,7674.51622545169,7533.54097466359,7474.4716117551,7327.64334705143,7268.30161622692,7213.76413159109,7081.57388500884,7031.40366132115,6893.50856805428,6844.25505130131,6794.06194234701,6679.88782920982,6641.60678379802,6603.51439441916,6484.370922586,6445.76882195603,6407.36470623904,6284.42084425947,6252.71591293729,6221.00457981816,6190.83128955802,6077.89517648616,6048.99151728661,6017.08708430478,5990.59703330885,5870.3877502008,5845.67605424895,5820.7383350587,5797.91664844128,5775.16891512433,5678.33308113561,5655.04104152382,5631.82822741974,5609.0784353339,5586.02678297002
10129.827645873,9859.5352620779,9660.97932269005,9474.92171322018,9375.30729370961,9190.24249698311,9024.45800349161,8864.97049772743,8700.15036464952,8618.03212479011,8447.35498339157,8284.89064180528,8213.52156947168,8054.50072732091,7983.017795693,7836.18799476804,7780.1173398428,7643.30771041622,7586.85099239221,7443.94211937564,7387.13904790754,7247.1425984733,7199.00600702605,7151.15161317117,7016.91345586235,6968.7765232299,6833.02378127873,6796.58091107255,6760.30421722657,6645.88920280951,6609.05917195661,6572.40397346479,6535.92287009037,6413.88645863851,6376.88706369428,6344.86339841806,6315.19550998234,6207.69314339037,6177.33514109475,6150.42992489909,6120.35912794132,6003.86291150336,5978.73862231647,5948.32333751531,5925.9476783565,5897.81096545273,5805.34925048209,5783.52421237722,5761.76658725224,5740.07619352909
10382.3268869932,10200.7378469818,10013.685910119,9821.24827041923,9637.69050158482,9458.95124559224,9274.82815157491,9118.70699813068,9041.53807892671,8882.08129354761,8717.07058401515,8638.99923142255,8472.87140330455,8319.30845781286,8251.52102915832,8091.72518387206,8025.36431334554,7894.11804444088,7841.07161330465,7703.3133697412,7649.77715846269,7596.56597605202,7451.64974032805,7402.32314311406,7272.99508294557,7227.68742700214,7182.77853779801,7046.31187336723,7002.14882313652,6960.06325278372,6849.55580974842,6815.59143158704,6781.76988561176,6748.09064081966,6629.9810764937,6595.70322814926,6561.57600705045,6527.59882778976,6415.33560954307,6387.48351945558,6361.27528160685,6333.64597715103,6224.44568621653,6196.25732113003,6173.97357216341,6146.05508347645,6118.24554933691,6005.73045102134,5986.07658952852,5966.47476019041
